number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28143","ピーマンともやし炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28144","枝豆の醤油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"28145","野菜いなり","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28146","大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28147","椎茸煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28148","れんこん煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28149","桃缶","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"28150","ほうれんそうと大豆煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28151","はんぺん煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28152","味噌汁（油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"28153","肉じゃが（肉抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","286.1","4.960","19.970","9.960","2.24"
"28154","さつま芋甘煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28155","トマトソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28156","味噌汁（チンゲン菜）","4℃以下で保存して下さい。 ","","(１食当たり)","","","7.1","0.210","0.129","1.263","1.30"
"28157","味噌汁（巻き麩）","4℃以下で保存して下さい。 ","","(１食当たり)","","","4.8","0.600","0.045","0.485","0.13"
